,enwiki_article,identifier
1892,Taliqua Clancy,Q26156022
1893,Heather Stanning,Q2039836
1894,Risako Kawai,Q17129302
1895,Ginga Munetomo,Q24579296
1896,Ida Lindborg,Q26229680
1897,Benjamin Schulte,Q3638264
1898,Vladyslav Hryko,Q23007815
1899,Kristina Reynolds,Q240692
1900,Khader Baqlah,Q26237981
1901,Jenny Rissveds,Q16562637
1902,Faicel Jaballah,Q2261592
1903,Anders Weiss,Q26260124
1904,Katrien Verstuyft,Q518348
1905,Sardorbek Dusmurotov,Q26422230
1906,Hilal Hemed Hilal,Q16236773
1907,Matej Tóth,Q2478771
1908,Tõnu Endrekson,Q775957
1909,Miguel Ángel López (cyclist),Q17711593
1910,Janay DeLoach Soukup,Q6332
1911,Justin Geduld,Q16235393
1912,Ellie Faulkner,Q5365340
1913,Marleen van Iersel,Q467597
1914,Alexandr Spac,Q23060007
1915,Kodo Nakano,Q26217969
1916,Juan Ignacio Maegli,Q968701
1917,Taylor Ruck,Q20973742
1918,Linda Stahl,Q6432
1919,Meaghan Volker,Q26252427
1920,Birhanu Balew,Q26384472
1921,Yuko Kitai,Q24668821
1922,Ivan Efremov (weightlifter),Q6096204
1923,Romain Bardet,Q787400
1924,Magdalena Garro,Q26262378
1925,Nijel Amos,Q1660
1926,Zakaria Draoui,Q21005667
1927,Nicolas Oliveira,Q782057
1928,Kirsten Flipkens,Q211599
1929,Heena Sidhu,Q5698012
1930,Isabella Amado Medrano,Q23888186
1931,Gilvan Ribeiro,Q5879803
1932,Primož Rogli?,Q2110167
1933,Lesley Thompson,Q453439
1934,Rebecca Heyliger,Q26263152
1935,Franz Anton,Q102439
1936,Aaron Cook (taekwondo),Q187488
1937,Joanne Fa'avesi,Q25999709
1938,Harold Correa,Q8309066
1939,Thaisa,Q15831196
1940,Kirsten Sweetland,Q1743646
1941,Luca Pizzini,Q24287413
1942,Luo Yu,Q517135
1943,Patrick Reed,Q15905139
1944,Ben Proud,Q17466671
1945,Gustavo Lima,Q5621429
1946,Natalia Romero,Q6968078
1947,Cameron Bairstow,Q16154592
1948,Belinda Trussell,Q19880091
1949,Fabrizio Zanotti,Q590399
1950,Emily Overholt,Q17484235
1951,Sarah Goss,Q18167639
1952,Renáta Tobai-Sike,Q20111858
1953,Iván Pastor,Q6100144
1954,Julio Salamanca,Q6309521
1955,Emma Tonegato,Q22004211
1956,Eleni Artymata,Q127052
1957,Zoe Buckman,Q8073258
1958,Monika Drybulska,Q1944606
1959,Yoel Finol,Q26267522
1960,Sabine Spitz,Q269591
1961,Constantin Adam,
1962,William Chetcuti,Q2332183
1963,Yolande Mabika,Q24524834
1964,Nathalie Brugger,Q1771562
1965,Juan Mónaco,Q294888
1966,Levi Cadogan,Q16571809
1967,Sara Mustonen (cyclist),Q4968493
1968,Romell Quioto,Q866041
1969,Marina Rodríguez,Q26269416
1970,Dilshod Nazarov,Q591225
1971,Ray Bassil,Q4355623
1972,Andranik Karapetyan,Q24037090
1973,Haris Belkebla,Q17579882
1974,Luiza Gega,Q4134683
1975,Diana Matheson,Q454285
1976,Kane Radford,Q26217976
1977,Amiran Papinashvili,Q15643942
1978,Alexander Schmirl,Q1452582
1979,Wendy Cornejo,Q16614547
1980,Kane Russell,Q26270595
1981,Andrew Durutalo,Q4756859
1982,Gunnar Bentz,Q20810488
1983,Zhang Chenglong,Q641339
1984,Elder Torres,Q24678818
1985,Kai Kazmirek,Q15063589
1986,Alexander Shibaev (table tennis),Q4523564
1987,Gévrise Émane,Q2372184
1988,Sebastián Rossi,Q7442678
1989,Ellie Downie,Q16977510
1990,Lawrence Clarke (athlete),Q3219889
1991,Ellen Hogerwerf,Q2341477
1992,Viktar Staselovich,Q26237992
1993,Mathias Boe,Q337654
1994,Mirco Pruyser,Q15879431
1995,Cecilia Bouele,Q26262331
1996,Jenny Elbe,Q1687028
1997,Floriane Gnafoua,Q25435278
1998,Talita Baqlah,Q7679578
1999,Graciete Santana,Q26268131
2000,Milan Risti? (athlete),Q16212340
2001,Vasek Pospisil,Q440531
2002,Steven Gardiner,Q19955988
2003,Danell Leyva,Q640546
2004,Helah Kiprop,Q1601661
2005,Daria Spiridonova,Q16466609
2006,Pavel Kelemen,Q1536089
2007,David Söderberg,Q3784949
2008,José Ramos (judoka),Q26238012
2009,Milan Ma?van,Q553505
2010,Kaliese Spencer,Q290756
2011,Simone Ruffini,Q3484608
2012,Patrick Hausding,Q62968
2013,Karen Bennett,Q20991563
2014,Alican Kaynar,Q4725672
2015,Tracy Eisser,Q20991593
2016,Usain Bolt,Q1189
2017,Sergey Chernetskiy,Q219446
2018,Lorène Bazolo,Q3837220
2019,Hassan Rahimi,Q3375440
2020,Tashreeq Morris,Q16236588
2021,Rudy Fernández (basketball),Q312651
2022,Bianca Hammett,Q4902494
2023,Patrick Constable,Q23062339
2024,Lyubov Shulika,Q459766
2025,Jessica Rossi,Q2085557
2026,Denis Kudla (wrestler),Q1187477
2027,Eloi Imaniraguha,Q26262330
2028,Beata Naigambo,Q439301
2029,Nathan Flannery,Q25316418
2030,Dirk Uittenbogaard,Q20993765
2031,Christian Amoah,Q26236492
2032,Frédérick Bousquet,Q369421
2033,James Rendón,Q422048
2034,Nic Woods,Q25482924
2035,Saud Habib,Q25849243
2036,Wang Shijia,Q7967619
2037,B. Sumeeth Reddy,Q14592828
2038,Ihor Radivilov,Q640995
2039,Will Claye,Q1750
2040,Lisa Zaiser,Q6558518
2041,Mercy Cherono,Q433832
2042,Peter Matthews (sprinter),Q11815887
2043,Sabrina Filzmoser,Q451794
2044,Yousef Masrahi,Q26088
2045,Timothy Wynter,Q26237994
2046,Runa Imai,Q22126174
2047,Noko Matlou,Q17517199
2048,Saori Nagamine,Q20983095
2049,Jailma de Lima,Q6123622
2050,Venilton Teixeira,Q24051448
2051,Catalina Usme,Q5051280
2052,Teymuraz Gabashvili,Q337763
2053,Ivan Popov (wrestler),Q25189482
2054,Mammadali Mehdiyev,Q26252954
2055,Marco Lingua,Q1996487
2056,Kariman Abuljadayel,Q26267151
2057,Bruno Soares,Q286185
2058,Diego del Real,Q5274885
2059,Marcelo Acosta,Q26236427
2060,Gregory Echenique,Q3776562
2061,Allison Schmitt,Q233469
2062,Seham El-Sawalhy,Q2266295
2063,Gaëlle Skrela,Q3099896
2064,Eva Calvo,Q16735368
2065,Kavita Raut,Q6379301
2066,Petra Kvitová,Q30812
2067,Isabelle Sambou,Q6078279
2068,Ogho-Oghene Egwero,Q11993261
2069,Harutyun Merdinyan,Q3128010
2070,István Péni,Q20830943
2071,Agnieszka Kobus,Q9142293
2072,Ahmed Abelrahman,Q26234433
2073,Gemma Beadsworth,Q1094035
2074,Steve Johnson (tennis),Q53569
2075,Lucien Delfour,Q26217968
2076,Wataru Endo,Q10526787
2077,Feng Tianwei,Q242490
2078,Erwin Caraballo,Q5396104
2079,Chrishuna Williams,Q25350692
2080,Urban Lesjak,Q23893332
2081,Piotr Ma?achowski,Q442990
2082,Steven López,Q699489
2083,Park Sang-young,Q16864187
2084,Sean Furey,Q7441016
2085,Arantxa Parra Santonja,Q182182
2086,Flor Ruiz,Q5460238
2087,Barry Middleton,Q4864510
2088,Danielle Boyd,Q24061115
2089,Gao Xinglong,Q20035969
2090,Hong Kuk-hyon,Q17641601
2091,Mélina Robert-Michon,Q454396
2092,Daria Dmitrieva (handballer),Q16979890
2093,Anne Schröder,Q26384479
2094,Max Heß,Q17544413
2095,Matías Paredes,Q9374705
2096,Amel Majri,Q2733405
2097,Zhao Zhifang,Q26422238
2098,Robbert Kempermann,Q555072
2099,James Davis (fencer),Q1392773
2100,Gary Antuanne Russell,Q26260350
2101,Luis Brethauer,Q1876357
2102,Nicholas Bett,Q18384904
2103,Joris Pijs,Q11728286
2104,Phillip Chew,Q2088013
2105,Hannah Buckling,Q5648801
2106,Kat Driscoll,Q6374953
2107,Mason Finley,Q3297312
2108,Ghofrane Mohammad,Q3104849
2109,Angelika Cichocka,Q4353564
2110,Jacques Riparelli,Q3159880
2111,Grace Stewart,Q26611909
2112,Ingrid Klimke,Q64650
2113,Mallory Pugh,Q22249639
2114,Kimberly Hyacinthe,Q14466647
2115,Kate Richardson-Walsh,Q40011
2116,David Plummer (swimmer),Q585381
2117,Praveen Jordan,Q868611
2118,Haruka Tachimoto,Q2371149
2119,Oleksandr Chernetskyi,Q16585081
2120,Kim Jung-hwan (fencer),Q487653
2121,Alfonso González,Q2865952
2122,Pavel Maslák,Q218677
2123,Nicole Büchler,Q538429
2124,Denys Kostyuk,Q527819
2125,Jacob Dalton,Q6118519
2126,Triyatno,Q431353
2127,Haislan Garcia,Q3375399
2128,Sam Dommer,Q26254372
2129,Sekou Kaba,Q20851344
2130,Aleksandra Jarmoli?ska,Q25713064
2131,Rieko Ioane,Q20677076
2132,Andrew Charter,Q4756591
2133,Barbara Kovács,Q24796942
2134,Wang Tiexin,Q18086570
2135,Godfrey Khotso Mokoena,Q440693
2136,Theodoros Iakovidis,Q26207535
2137,Philipp Wende,Q71884
2138,Hélène Defrance,Q23796166
2139,Nikola Girke,Q7035524
2140,Larissa Oliveira,Q16235698
2141,Marcel Nguyen,Q76850
2142,Quinta Steenbergen,Q3414567
2143,Rustam Orujov,Q2106944
2144,Moritz Moos,Q24192135
2145,Sara Errani,Q229005
2146,Luis Charles,Q26459665
2147,Moisés Duque,Q10331542
2148,Florina Sorina Hulpan,Q26220918
2149,Maryna Kylypko,Q26300192
2150,Nino Bertasio,Q3410039
2151,Leah Smith (swimmer),Q21064243
2152,Katherine Copeland,Q1997616
2153,María Casado,Q26611929
2154,James Roberts (swimmer),Q1851577
2155,Nuno Saraiva,Q26611928
2156,Sergii Tokarnytskyi,Q26336621
2157,Francisco Barreto Júnior,Q20048090
2158,Khaled Al-Mudhaf,Q21064196
2159,Gabriela Petrova,Q13882884
2160,Tamila Holub,Q26260725
2161,Shiva Thapa,Q2030134
2162,Kenji Takahashi (sailor),Q6389365
2163,Martín Naidich,Q18416320
2164,Denys Molchanov,Q950245
2165,Laura Lindemann,Q18169788
2166,Hicham Bouchicha,Q20871121
2167,Annika Beck,Q77157
2168,Gastón Revol,Q25975829
2169,Ashley Spencer (athlete),Q2866558
2170,Laxmirani Majhi,Q21066929
2171,Aliaksandra Tarasava,Q3609557
2172,Rebeka Koha,Q22338003
2173,Alejandra Valencia,Q1756257
2174,Jarkko Kinnunen,Q4356544
2175,Jade Barbosa,Q257896
2176,Hoàng Quý Ph??c,Q2575092
2177,Alina Komashchuk,Q14565310
2178,Éva Csernoviczki,Q872342
2179,Laura Muir,Q15103715
2180,Kayla Moleschi,Q25768277
2181,Wang Zhendong,Q26276675
2182,Nozomi Okuhara,Q440511
2183,Caroline Marton,Q23772595
2184,Tontowi Ahmad,Q506333
2185,Katie Clark,Q6377409
2186,Dayron Robles,Q9154
2187,Francine Niyonsaba,Q452213
2188,Maria Andrejczyk,Q20829524
2189,Georgina Póta,Q443506
2190,Ahmed Shaban,Q23902682
2191,Timur Safin,Q17388702
2192,Dimitriy Timchenko,Q20870986
2193,Sarah Pavan,Q1469069
2194,Élise Bussaglia,Q274720
2195,Quah Zheng Wen,Q7268467
2196,Natallia Kalnysh,Q6968329
2197,Deniss Karpak,Q5257841
2198,Lü Yang,Q26260208
2199,Jacob Pebley,Q25315575
2200,Long Qingquan,Q358082
2201,Rebekah Tiler,Q16912017
2202,Nicholas Catlin,Q7025187
2203,Ami Kondo,Q11435489
2204,Carlos Coloma Nicolás,Q2619455
2205,Koji Yamamuro,Q640377
2206,Richard Kruse,Q282285
2207,Julia Edward,Q18085390
2208,Henri Hurskainen,Q977531
2209,Tore Navrestad,Q23771386
2210,Kira Toussaint,Q4409733
2211,Sun Meichen,Q26236428
2212,Josh Akognon,Q3810299
2213,Grischa Prömel,Q20436216
2214,Jermaine Seoposenwe,Q26217957
2215,Vid Poteko,Q23761907
2216,Bianca Farella,Q25768272
2217,Caleb Ndiku,Q458928
2218,Irina Bliznova,Q271516
2219,Rodrigo González (triathlete),Q26611727
2220,Jonathan Koch (rower),Q829661
2221,Le Chien-ying,Q1828033
2222,Filip Šváb,Q17632320
2223,Alicia Blagg,Q2646985
2224,Nethaneel Mitchell-Blake,Q14914875
2225,Kristiina Mäkelä,Q2913754
2226,Yuriy Cheban,Q2715382
2227,Eliška Klu?inová,Q459692
2228,Tamás Decsi,Q3514901
2229,Teja Belak,Q20205020
2230,Sonia Asselah,Q2372460
2231,Halil Akka?,Q2524316
2232,Rebeca Andrade,Q10357885
2233,Seabelo Senatla,Q17403432
2234,Jéssica Cavalheiro,Q10313312
2235,Deng Shudi,Q21294638
2236,Arturas Mastianica,Q25272198
2237,Natalie Achonwa,Q3336392
2238,Karsten Warholm,Q13900927
2239,Áron Szilágyi,Q252335
2240,Oumou Touré,Q3358325
2241,Olena Kolesnychenko,Q3881591
2242,Fabio Aru,Q1033882
2243,Katarzyna Baranowska,Q2397108
2244,Jade Uru,Q11715833
2245,Nina Amir,Q24038292
2246,Vincent Vanasch,Q3365463
2247,Gulnaz Gubaydullina,Q26207590
2248,Danka Kovini?,Q5219935
2249,Sébastien Dockier,Q16228570
2250,Emiliano Lasa,Q16064179
2251,Michael Venus (tennis),Q6835083
2252,Sharolyn Scott,Q7489950
2253,Balázs Baji,Q788699
2254,Ilona Marhele,Q16357974
2255,Roger-Yves Bost,Q1277320
2256,Laenly Phoutthavong,Q6470992
2257,Mélanie Henique,Q2110752
2258,Federica Radicchi,Q3741570
2259,Jordin Andrade,Q24260171
2260,Mert Atl?,Q23920850
2261,Peter Wiersum,Q2007723
2262,Naomi Ruele,Q26263150
2263,Sun Yanan,Q14934742
2264,Alina Talay,Q454602
2265,Matúš Bubeník,Q11771696
2266,Mariya Dmitriyenko,Q26233740
2267,Frank Pasche,Q1443937
2268,Emre Zafer Barnes,Q20751601
2269,Blaž Janc,Q23892332
2270,Blair Cameron Bann,Q881160
2271,Anton Astakhov,Q26324051
2272,Mireia Belmonte,Q232218
2273,Mohammed Rabii,Q21033242
2274,Damiano Caruso,Q956604
2275,Teófimo López,Q26250597
2276,Rados?aw Kaw?cki,Q80640
2277,Xu Lijia,Q2515149
2278,Ahmad Ibrahim Khalaf,Q9142733
2279,DeAndre Jordan,Q60478
2280,Bubba Watson,Q706227
2281,Norbert Trandafir,Q2043678
2282,Karma (archer),Q21066819
2283,Marcus Vinicius D'Almeida,Q17501933
2284,Lin Yue,Q701287
2285,Inna Kashyna,Q26431479
2286,Rutger van Schaardenburg,Q2475802
2287,Om Yun-chol,Q705926
2288,Kenia Sinclair,Q438998
2289,Yaniuska Espinosa,Q6169772
2290,Jisna Mathew,Q21936505
2291,Moisés Hernández (taekwondo),Q26611910
2292,Regine Tugade,Q20900327
2293,Mohamed Abdelaal,Q26300206
2294,Narcisa Landazuri,Q20900331
2295,Lucas Rey,Q6696286
2296,Amy Sène,Q979182
2297,Shim Jung-sub,Q26483255
2298,Dan Craven,Q930472
2299,Julianna Miskolczi,Q24635341
2300,Vasilij Žbogar,Q3179153
2301,Jhonnatan Botero Villegas,Q26474391
2302,Brayan García,Q16300476
2303,Daniel Trojanowski,Q3014770
2304,Yohann Diniz,Q705966
2305,Amela Terzi?,Q4742172
2306,Steffen Peters,Q2338733
2307,Jorge Vivas,Q26250650
2308,Katarzyna Trzopek,Q26260186
2309,Atallah Al-Anazi,Q26226880
2310,Tina Šutej,Q468204
2311,Byron Kokkalanis,Q5004405
2312,Iveta Putálová,Q19667038
2313,Noémi Girardet,Q26236436
2314,Leonardo de Deus,Q10317371
2315,Yang Zhe,Q23761916
2316,Magnus Westermann,Q26251832
2317,Eita Mori,Q23902513
2318,Georgios Tziallas,Q8732645
2319,Azubuike Okechukwu,Q24809944
2320,Asnage Castelly,Q26262338
2321,Maggie Malone,Q25861104
2322,Prarthana Thombare,Q18211289
2323,Tatyana Troina,Q1111344
2324,Benjamin Kiplagat,Q2896128
2325,Anastasiya Mokhnyuk,Q20859234
2326,Ivan Ivanov (shot putter),
2327,Fan Yang (cyclist),Q22959094
2328,Alaaeldin Abouelkassem,Q178889
2329,Maja Ognjenovi?,Q2734878
2330,Ruth Gbagbi,Q1522558
2331,Soumyajit Ghosh,Q7564600
2332,Ji?í Sýkora,Q17457217
2333,Tian Tao,Q18638096
2334,Arne Jensen (archer),Q21066591
2335,Sérgio Vieira (racewalker),Q7666113
2336,Grace Prendergast,Q18045423
2337,Kim Mi-rae,Q26664061
2338,Kim Un-hyang (diver),Q513695
2339,Henrikas Žustautas,Q20155435
2340,Yuliya Tarasova,Q3052198
2341,Erica Wiebe,Q17509449
2342,Min Zhang,Q26267551
2343,Jeanette Ottesen,Q272922
2344,Abrar Osman,Q3370340
2345,Wallace de Souza,Q2119880
2346,Frank Thompson (sport shooter),Q5489946
2347,Jelena Jankovi?,Q15269
2348,Marcelo Chierighini,Q2094524
2349,Sarah Gregorius,Q467274
2350,Tiberiu Dolniceanu,Q1442830
2351,Molly Meech,Q26231862
2352,Kim Hyeon-jun,Q26324057
2353,Denis Ablyazin,Q639739
2354,Francesca Pomeri,Q21055360
2355,Shin Dong-hyen,Q22770995
2356,Yann Siccardi,Q2107270
2357,Michelle Finn (Irish athlete),Q20967861
2358,Annalie Longo,Q4767831
2359,Katelin Snyder,Q11737382
2360,Antonio Leal,Q3619744
2361,Kimia Alizadeh,Q19949645
2362,Jonas Ma?iulis,Q24410
2363,Aida Shanayeva,Q1657796
2364,Miki Uchida,Q6849865
2365,Anilda Thomas,Q26260717
2366,Jeannine Gmelin,Q20109612
2367,Wilfried Bingangoye,Q3361506
2368,Sergey Grankin,Q928699
2369,Babett Peter,Q70583
2370,Piotr Szczepa?ski,Q7197014
2371,Takumi Minamino,Q776878
2372,Yauhen Tsurkin,Q8050332
2373,Park Hae-mi (sport shooter),Q26225896
2374,Jessica Eddie,Q11725853
2375,Sunayna Wahi,Q26262334
2376,Nikola Kalini? (basketball),Q14786216
2377,Jorge Fernández (athlete),Q534791
2378,Oleksandr Nadtoka,Q16708531
2379,Bence Pulai,Q1241531
2380,Kerstin Hartmann,Q95511
2381,Sam Gaze,Q17466052
2382,Vashti Cunningham,Q19879200
2383,Chinglensana Singh,Q19571682
2384,Margarita Hernández,Q26161163
2385,Jake Whetton,Q18218187
2386,Aleksandar Kukolj,Q26254371
2387,Mayra Herrera,Q677515
2388,Edgar Pineda,Q26237141
2389,Lukáš Melich,Q3505404
2390,Nikola Joki?,Q17281073
2391,Farah Boufadene,Q23888418
2392,Salim Keddar,Q20925713
2393,Eduardo Solaeche,Q23307899
2394,Jessica Houara,Q219445
2395,Yadinis Amarís,Q2371619
2396,Abdalaati Iguider,Q1669
2397,Ourania Rebouli,Q25936084
2398,Laura Marino,Q16653252
2399,Victoria Zuloaga,Q7927155
2400,Liang Xiaoyu,Q13515530
2401,Josh Dunkley-Smith,Q152197
2402,Frank de Wit,Q26013347
2403,Noemie Thomas,Q19973709
2404,Przemys?aw Wacha,Q983449
2405,Valentin Verga,Q556448
2406,Juliana Esteves dos Santos,Q25936069
2407,Mads Christiansen,Q662064
2408,Shanieka Thomas,Q20863569
2409,Alexander Belonogoff,Q26233728
2410,Hugo Parisi,Q1337135
2411,Li Qian (table tennis),Q458293
2412,Xue Jiao,Q26406161
2413,Bruno Ortiz-Cañavate,Q25434052
2414,Teresa Almeida,Q15303087
2415,Areneo David,Q21005546
2416,Celso Oliveira,Q16337137
2417,Bradley Adkins,Q25768127
2418,Aileen Morrison,Q405031
2419,Tyler Sanders,Q21622707
2420,Youssef Akrout,Q8059065
2421,Kelly Griffin,Q26156021
2422,Raidel Acea,Q2127515
2423,Fabiana da Silva Simões,Q4943862
2424,Miah-Marie Langlois,Q18211052
2425,Paula Ishibashi,Q25936066
2426,Hayden Roulston,Q465367
2427,Ayomide Folorunso,Q20723724
2428,Neisi Dajomes,Q26270581
2429,Takanori Nagase,Q17226182
2430,Serge Michel,Q26267568
2431,Nastassia Staravoitava,Q3917794
2432,Xu Xin (table tennis),Q2520617
2433,Georcy-Stéphanie Picard,Q21066863
2434,Viktoria Schwarz,Q447665
2435,Islam El Shehaby,Q2261150
2436,Lee Hye-jin,Q6513992
2437,Luo Ying,Q286719
2438,Ludovic Henry,
2439,Anastasiya Lysenko,Q20068106
2440,Angelica Roos,Q26268943
2441,Michelle Weber,Q26276685
2442,Mateusz Kami?ski,Q20961878
2443,Alejandra Betancur,Q26221116
2444,Adriana Martín (archer),Q20978097
2445,Mathieu Lemoine,Q25906122
2446,Leonor Rodríguez,Q16654704
2447,Florian Reichstädter,Q16221133
2448,Katharina Otte,Q1735967
2449,Jake Packard,Q24205214
2450,Niklas Süle,Q13365847
2451,Ricky Rubio,Q212421
2452,Miquel Delas,Q6844525
2453,Fabrice Dabla,Q26678295
2454,Astrit Ajdarevi?,Q751101
2455,Grigoriy Tarasevich,Q24365955
2456,Keri-Anne Payne,Q444896
2457,Filip Ude,Q762934
2458,Marina Nichi?enco,Q2348593
2459,Ivan Trotski,Q175925
2460,Amina Kajtaz,Q26234783
2461,Liu Hao (cyclist),Q19355955
2462,Domenico Montrone,Q11694761
2463,Robert Tvorogal,Q7350513
2464,Adrián Gavira,Q377878
2465,Yeseida Carrillo,Q26431485
2466,Bertrand Roiné,Q575075
2467,Uvis Kalni?š,Q7903719
2468,Marius Grigonis,Q16236172
2469,Samuel Córdova,Q24005041
2470,Mohamed El-Kawisah,Q26324380
2471,Asenate Manoa,Q778735
2472,Dagnis I?jins,Q25919400
2473,Madeline Hills,Q20962094
2474,Laurie Berthon,Q3219641
2475,Francisco Garrigos,Q26324077
2476,Marie-Louise Dräger,Q276144
2477,Mariya Telushkina,
2478,Rok Stip?evi?,Q2627151
2479,Gabrielle Nance,Q26384489
2480,Daria Pogorzelec,Q2371548
2481,Milutin Stefanovi?,Q20111834
2482,Rikke Møller Pedersen,Q466402
2483,Evgenia Soboleva,Q5418249
2484,Sinéad Lynch,Q7522382
2485,Rabia Güleç,Q19950014
2486,Aya Traoré,Q2874840
2487,Inbee Park,Q2690977
2488,Ratchanok Intanon,Q448002
2489,Stephanie Pohl (cyclist),Q2344233
2490,Natan W?grzycki-Szymczyk,Q25391586
2491,Marina Toribiong,Q26406060
2492,Steve Cummings,Q449022
2493,?ukasz Kubot,Q345626
2494,Jana Labáthová,Q18104517
2495,Nikkita Holder,Q7035292
2496,Anastasia Zuyeva (swimmer),Q266700
2497,Ilaria Bianchi,Q1432687
2498,Chen Peina,Q26267421
2499,Chala Beyo,Q21157180
2500,Ana Dabovi?,Q4153527
2501,Mark Robertson (rugby union),Q6769468
2502,Sopita Tanasan,Q16227761
2503,Milana Dadasheva,Q26255789
2504,Christos Katrantzis,Q26237966
2505,Lennie Waite,Q19578207
2506,Jérôme Truyens,Q1857125
2507,Cierra Runge,Q19667397
2508,Manpreet Singh (field hockey),Q15620976
2509,Ryan Pini,Q2060460
2510,Devin McEwan,Q26260722
2511,Ashleigh Johnson,Q21064358
2512,Hendra Purnama,Q21066499
2513,David Muñoz (sport shooter),Q26226838
2514,Nico Stahlberg,Q19382945
2515,Leandro Vega,Q16589831
2516,Kaveh Mousavi,Q10877227
2517,Jasmine Ser,Q8044139
2518,Teo Shun Xie,Q23664817
2519,Doston Yokubov,Q26252928
2520,Izi Castro Marques,Q459883
2521,Kefasi Chitsala,Q26472797
2522,Josateki Naulu,Q2112287
2523,Tanja Perec,Q26324072
2524,Amy Turner (Australian rugby union),Q21872777
2525,Philip Heintz,Q109584
2526,Alexander Bryukhankov,Q2024594
2527,Virimi Vakatawa,Q3560816
2528,Artem Chebotarev,Q15222251
2529,Ida Marko-Varga,Q2297231
2530,Andrei Krauchanka,Q463474
2531,Rowena Webster,Q4896412
2532,Takuya Haneda,Q7678621
2533,Kim Kum-ok,Q520516
2534,Francelina Cabral,Q26209392
2535,Alec Potts,Q21066098
2536,Andrea Ivan?evi?,Q19668463
2537,Rosa Rodríguez,Q2590369
2538,V??ng Th? Huy?n,Q24809911
2539,Robbie Manson,Q20679767
2540,Ellen Sprunger,Q1331881
2541,Alin Moldoveanu,Q714391
2542,Simon Martirosyan,Q20510380
2543,Jang Hyun-soo,Q168448
2544,Rajiv Ouseph,Q472923
2545,Max Meyer (footballer),Q6426085
2546,Lü Huihui,Q3264580
2547,Nenad Be?ik,Q6991424
2548,Elisa Di Francisca,Q261939
2549,Hansle Parchment,Q1687
2550,Beslan Mudranov,Q11688034
2551,Tomáš Klobu?ník,Q7820590
2552,Ursula Wikström,Q2299501
2553,Carlos Paro,Q5042470
2554,Igor Kara?i?,Q16319482
2555,Miyuki Uehara,Q26043666
2556,An Se-hyeon,Q26229681
2557,Hayder Shkara,Q23880562
2558,Laurine van Riessen,Q264170
2559,Christopher Rühr,Q26234701
2560,Georgi Ivanov (athlete),Q3760734
2561,Benson Seurei,Q20925712
2562,David Torrence (athlete),Q18158960
2563,Farhad Ghaemi,Q4814846
2564,Jeff Henderson (athlete),Q16209823
2565,Inés Remersaro,Q1671876
2566,Gordon Benson,Q20091363
2567,Matthias Schmid,Q16221161
2568,Darcina Manuel,Q17418805
2569,David Kostelecký,Q519159
2570,Shani Bloch,Q18163011
2571,Joanne Watmore,Q26260142
2572,Karine Icher,Q2681628
2573,Leila Rajabi,Q6519900
2574,Kseniya Pantelyeyeva,Q595651
2575,Giordan Harris,Q8964118
2576,Khaled Houcine,Q6399353
2577,Josephine Jacques Coquin,Q26260187
2578,Zhanyl Okoeva,Q26132061
2579,Valerie Gruest,Q26237959
2580,Mazoon Al-Alawi,Q26262336
2581,Nima Alamian,Q23852693
2582,Merle van Benthem,Q16664114
2583,Robby Smith,Q23883691
2584,Yoshua Shing,Q8056345
2585,Martin Tiš?an,Q20970878
2586,Phumlani Ntshangase,Q21771881
2587,Huang Huai-hsuan,Q26316188
2588,Hassanine Sebei,Q2369963
2589,Irina Embrich,Q449949
2590,Rolando Saquipay,Q7360584
2591,Jane Claxton,Q17489670
2592,An-Li Pretorius,Q19518624
2593,Valentin Onfroy,Q24037931
2594,Nguy?n Th? Huy?n (athlete),Q20745105
2595,Alexandra Escobar,Q527864
2596,Ion Panait,Q1672102
2597,Tom Murray (rower),Q25345873
2598,Simon Clarke (cyclist),Q713274
2599,Thongchai Jaidee,Q714434
2600,Camille Lacourt,Q714898
2601,Gao Yang (athlete),Q9265850
2602,Elson Brechtefeld,Q26217954
2603,Winston Hill (boxer),Q26250633
2604,Menzi Masuku,Q19968816
2605,Zhang Mo,Q3375038
2606,Kate Foo Kune,Q1735684
2607,Hussein Ishaish,Q26263138
2608,Daisuke Narimatsu,Q23710549
2609,Or Sasson,Q20162055
2610,Porntip Buranaprasertsuk,Q524232
2611,Yuliya Rytsikava,Q26483245
2612,Manavjit Singh Sandhu,Q4357651
2613,Hortense Diédhiou,Q2034838
2614,Olivia Podmore,Q23769932
2615,Nanthana Komwong,Q3380536
2616,Andriy Yahodka,Q2846889
2617,Wojciech Wojdak,Q23062933
2618,Devery Karz,Q26664078
2619,Andreea Boghian,Q9151043
2620,Chirine Njeim,Q253055
2621,Daniela Cârlan,Q5219206
2622,Kia Nurse,Q18211238
2623,Artyom Zakharov,Q22662586
2624,Guzel Manyurova,Q466560
2625,Andy Bisek,Q17612801
2626,Quentin Rew,Q7271285
2627,Shan Xiaona,Q15847366
2628,Abdul Omar (boxer),Q26260213
2629,András Parti,Q2847005
2630,Komeil Ghasemi,Q1319009
2631,Beatriz Pascual,Q436504
2632,Karin Schnaase,Q1729552
2633,Yulenmis Aguilar,Q15910085
2634,Boniface Mucheru Tumuti,Q2910104
2635,Amandine Henry,Q454261
2636,Ainur Yesbergenova,Q25433508
2637,Sara Moreira,Q264150
2638,Naho Miyoshi,Q11354864
2639,Haido Alexouli,Q26156302
